pixel_ID,lat,lon,utm_n,utm_e,population
0,36.6083297138,-122.788927137,4051445.28179,518876.333318,0
1,36.6083093844,-122.777745333,4051445.28179,519876.333318,0
2,36.6082880058,-122.76656354,4051445.28179,520876.333318,0
3,36.6082655781,-122.755381759,4051445.28179,521876.333318,0
4,36.6082421012,-122.744199991,4051445.28179,522876.333318,0
5,36.6082175752,-122.733018237,4051445.28179,523876.333318,0
6,36.608192,-122.721836495,4051445.28179,524876.333318,0
7,36.6081653757,-122.710654769,4051445.28179,525876.333318,0
8,36.6081377022,-122.699473057,4051445.28179,526876.333318,0
9,36.6081089796,-122.688291361,4051445.28179,527876.333318,0
10,36.6080792078,-122.677109681,4051445.28179,528876.333318,0
11,36.608048387,-122.665928017,4051445.28179,529876.333318,0
12,36.608016517,-122.654746371,4051445.28179,530876.333318,0
13,36.6079835979,-122.643564743,4051445.28179,531876.333318,0
14,36.6079496297,-122.632383133,4051445.28179,532876.333318,0
15,36.6079146123,-122.621201542,4051445.28179,533876.333318,0
16,36.6078785459,-122.610019971,4051445.28179,534876.333318,0
17,36.6078414304,-122.59883842,4051445.28179,535876.333318,0
18,36.6078032658,-122.587656889,4051445.28179,536876.333318,0
19,36.6077640521,-122.57647538,4051445.28179,537876.333318,0
20,36.6077237894,-122.565293893,4051445.28179,538876.333318,0
21,36.6076824775,-122.554112428,4051445.28179,539876.333318,0
22,36.6076401166,-122.542930986,4051445.28179,540876.333318,0
23,36.6075967067,-122.531749568,4051445.28179,541876.333318,0
24,36.6075522477,-122.520568174,4051445.28179,542876.333318,0
25,36.6075067396,-122.509386805,4051445.28179,543876.333318,0
26,36.6074601826,-122.498205461,4051445.28179,544876.333318,0
27,36.6074125765,-122.487024143,4051445.28179,545876.333318,0
28,36.6073639213,-122.475842851,4051445.28179,546876.333318,0
29,36.6073142172,-122.464661587,4051445.28179,547876.333318,0
30,36.6072634641,-122.45348035,4051445.28179,548876.333318,0
31,36.607211662,-122.442299142,4051445.28179,549876.333318,0
32,36.6071588108,-122.431117962,4051445.28179,550876.333318,0
33,36.6071049107,-122.419936812,4051445.28179,551876.333318,0
34,36.6070499617,-122.408755691,4051445.28179,552876.333318,0
35,36.6069939637,-122.397574601,4051445.28179,553876.333318,0
36,36.6069369167,-122.386393543,4051445.28179,554876.333318,0
37,36.6068788208,-122.375212516,4051445.28179,555876.333318,0
38,36.6068196759,-122.364031521,4051445.28179,556876.333318,0
39,36.6067594822,-122.352850559,4051445.28179,557876.333318,0
40,36.6066982395,-122.341669631,4051445.28179,558876.333318,0
41,36.6066359479,-122.330488736,4051445.28179,559876.333318,0
42,36.6065726074,-122.319307876,4051445.28179,560876.333318,0
43,36.6065082181,-122.308127052,4051445.28179,561876.333318,0
44,36.6064427798,-122.296946263,4051445.28179,562876.333318,0
45,36.6063762927,-122.28576551,4051445.28179,563876.333318,0
46,36.6063087568,-122.274584794,4051445.28179,564876.333318,0
47,36.606240172,-122.263404116,4051445.28179,565876.333318,0
48,36.6061705384,-122.252223475,4051445.28179,566876.333318,0
49,36.606099856,-122.241042874,4051445.28179,567876.333318,0
50,36.6060281247,-122.229862311,4051445.28179,568876.333318,0
51,36.6059553447,-122.218681789,4051445.28179,569876.333318,0
52,36.6058815159,-122.207501306,4051445.28179,570876.333318,0
53,36.6058066383,-122.196320865,4051445.28179,571876.333318,0
54,36.605730712,-122.185140465,4051445.28179,572876.333318,0
55,36.6056537369,-122.173960107,4051445.28179,573876.333318,0
56,36.6055757131,-122.162779792,4051445.28179,574876.333318,0
57,36.6054966405,-122.15159952,4051445.28179,575876.333318,0
58,36.6054165193,-122.140419292,4051445.28179,576876.333318,0
59,36.6053353493,-122.129239108,4051445.28179,577876.333318,0
60,36.6052531307,-122.11805897,4051445.28179,578876.333318,0
61,36.6051698634,-122.106878877,4051445.28179,579876.333318,0
62,36.6050855475,-122.095698829,4051445.28179,580876.333318,0
63,36.6050001829,-122.084518829,4051445.28179,581876.333318,0
64,36.6049137697,-122.073338876,4051445.28179,582876.333318,0
65,36.6048263078,-122.062158971,4051445.28179,583876.333318,0
66,36.6047377974,-122.050979114,4051445.28179,584876.333318,0
67,36.6046482384,-122.039799306,4051445.28179,585876.333318,0
68,36.6045576308,-122.028619548,4051445.28179,586876.333318,0
69,36.6044659747,-122.01743984,4051445.28179,587876.333318,0
70,36.60437327,-122.006260183,4051445.28179,588876.333318,0
71,36.6042795168,-121.995080577,4051445.28179,589876.333318,0
72,36.6041847151,-121.983901023,4051445.28179,590876.333318,0
73,36.6040888648,-121.972721521,4051445.28179,591876.333318,0
74,36.6039919662,-121.961542073,4051445.28179,592876.333318,0
75,36.603894019,-121.950362678,4051445.28179,593876.333318,0
76,36.6037950234,-121.939183337,4051445.28179,594876.333318,0
77,36.6036949794,-121.928004051,4051445.28179,595876.333318,0
78,36.6035938869,-121.916824821,4051445.28179,596876.333318,0
79,36.6034917461,-121.905645646,4051445.28179,597876.333318,0
80,36.6033885568,-121.894466528,4051445.28179,598876.333318,0
81,36.6032843192,-121.883287467,4051445.28179,599876.333318,0
82,36.6031790333,-121.872108463,4051445.28179,600876.333318,0
83,36.603072699,-121.860929518,4051445.28179,601876.333318,0
84,36.6029653164,-121.849750632,4051445.28179,602876.333318,0
85,36.6028568855,-121.838571805,4051445.28179,603876.333318,0
86,36.6027474063,-121.827393038,4051445.28179,604876.333318,0
87,36.6026368789,-121.816214331,4051445.28179,605876.333318,0
88,36.6025253032,-121.805035686,4051445.28179,606876.333318,0
89,36.6024126793,-121.793857103,4051445.28179,607876.333318,0
90,36.6022990072,-121.782678581,4051445.28179,608876.333318,0
91,36.6021842869,-121.771500123,4051445.28179,609876.333318,0
92,36.6020685184,-121.760321728,4051445.28179,610876.333318,0
93,36.6019517018,-121.749143397,4051445.28179,611876.333318,0
94,36.6018338371,-121.73796513,4051445.28179,612876.333318,0
95,36.6017149242,-121.726786929,4051445.28179,613876.333318,0
96,36.6015949632,-121.715608793,4051445.28179,614876.333318,0
97,36.6014739542,-121.704430724,4051445.28179,615876.333318,0
98,36.6013518971,-121.693252722,4051445.28179,616876.333318,0
99,36.601228792,-121.682074787,4051445.28179,617876.333318,0
100,36.6011046388,-121.67089692,4051445.28179,618876.333318,0
101,36.6009794377,-121.659719122,4051445.28179,619876.333318,0
102,36.6008531886,-121.648541393,4051445.28179,620876.333318,0
103,36.6007258915,-121.637363733,4051445.28179,621876.333318,0
104,36.6005975465,-121.626186144,4051445.28179,622876.333318,0
105,36.6004681536,-121.615008626,4051445.28179,623876.333318,0
106,36.6003377128,-121.60383118,4051445.28179,624876.333318,0
107,36.6002062241,-121.592653805,4051445.28179,625876.333318,0
108,36.6000736876,-121.581476504,4051445.28179,626876.333318,0
109,36.5999401033,-121.570299275,4051445.28179,627876.333318,0
110,36.5998054711,-121.55912212,4051445.28179,628876.333318,0
111,36.5996697912,-121.54794504,4051445.28179,629876.333318,0
112,36.5995330635,-121.536768034,4051445.28179,630876.333318,0
113,36.599395288,-121.525591105,4051445.28179,631876.333318,0
114,36.5992564649,-121.514414251,4051445.28179,632876.333318,0
115,36.599116594,-121.503237474,4051445.28179,633876.333318,0
116,36.5989756755,-121.492060774,4051445.28179,634876.333318,0
117,36.5988337093,-121.480884152,4051445.28179,635876.333318,0
118,36.5986906955,-121.469707608,4051445.28179,636876.333318,0
119,36.5985466341,-121.458531144,4051445.28179,637876.333318,0
120,36.5984015251,-121.447354758,4051445.28179,638876.333318,0
121,36.5982553686,-121.436178454,4051445.28179,639876.333318,0
122,36.5981081645,-121.425002229,4051445.28179,640876.333318,0
123,36.5979599129,-121.413826086,4051445.28179,641876.333318,0
124,36.5978106139,-121.402650025,4051445.28179,642876.333318,0
125,36.5976602673,-121.391474047,4051445.28179,643876.333318,0
126,36.5975088734,-121.380298151,4051445.28179,644876.333318,0
127,36.597356432,-121.369122339,4051445.28179,645876.333318,0
128,36.5972029433,-121.357946611,4051445.28179,646876.333318,0
129,36.5970484071,-121.346770968,4051445.28179,647876.333318,0
130,36.5968928237,-121.33559541,4051445.28179,648876.333318,0
131,36.5967361929,-121.324419939,4051445.28179,649876.333318,0
132,36.5965785149,-121.313244553,4051445.28179,650876.333318,0
133,36.5964197896,-121.302069255,4051445.28179,651876.333318,0
134,36.596260017,-121.290894044,4051445.28179,652876.333318,0
135,36.5960991973,-121.279718922,4051445.28179,653876.333318,0
136,36.5959373303,-121.268543888,4051445.28179,654876.333318,0
137,36.5957744163,-121.257368943,4051445.28179,655876.333318,0
138,36.595610455,-121.246194089,4051445.28179,656876.333318,0
139,36.5954454467,-121.235019325,4051445.28179,657876.333318,0
140,36.5952793913,-121.223844652,4051445.28179,658876.333318,0
141,36.5951122889,-121.212670071,4051445.28179,659876.333318,0
142,36.5949441394,-121.201495582,4051445.28179,660876.333318,0
143,36.594774943,-121.190321186,4051445.28179,661876.333318,0
144,36.6173446704,-122.788902566,4052445.28179,518876.333318,0
145,36.6173243344,-122.777719461,4052445.28179,519876.333318,0
146,36.6173029488,-122.766536366,4052445.28179,520876.333318,0
147,36.6172805138,-122.755353284,4052445.28179,521876.333318,0
148,36.6172570292,-122.744170214,4052445.28179,522876.333318,0
149,36.6172324952,-122.732987158,4052445.28179,523876.333318,0
150,36.6172069116,-122.721804115,4052445.28179,524876.333318,0
151,36.6171802786,-122.710621087,4052445.28179,525876.333318,0
